,label
0,0
1,0
2,0
3,0
4,0
5,2
6,2
7,2
8,0
9,2
10,2
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,2
19,2
20,0
21,2
22,0
23,1
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,2
41,0
42,2
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,2
76,2
77,2
78,2
79,2
80,2
81,2
82,2
83,2
84,2
85,2
86,2
87,2
88,2
89,0
90,2
91,2
92,0
93,0
94,2
95,0
96,0
97,0
98,0
99,2
100,2
101,2
102,2
103,2
104,0
105,2
106,2
107,0
108,0
109,0
110,2
111,0
112,0
113,0
114,0
115,0
116,2
117,0
118,2
119,2
120,0
121,0
122,0
123,2
124,2
125,1
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,2
138,2
139,0
140,0
141,2
142,2
143,2
144,2
145,2
146,2
147,2
148,2
149,2
150,2
151,2
152,2
153,2
154,2
155,2
156,2
157,2
158,0
159,0
160,0
161,2
162,2
163,2
164,2
165,2
166,2
167,2
168,2
169,2
170,0
171,2
172,2
173,2
174,2
175,2
176,2
177,2
178,2
179,2
180,2
181,2
182,2
183,2
184,2
185,2
186,2
187,2
188,2
189,2
190,2
191,2
192,0
193,2
194,2
195,2
196,2
197,2
198,0
199,2
200,2
201,2
202,2
203,2
204,2
205,2
206,2
207,2
208,2
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,2
217,0
218,2
219,2
220,2
221,2
222,2
223,2
224,2
225,2
226,2
227,2
228,2
229,2
230,2
231,2
232,2
233,2
234,2
235,2
236,2
237,2
238,0
239,2
240,0
241,0
242,0
243,0
244,0
245,0
246,2
247,2
248,0
249,0
250,0
251,0
252,0
253,2
254,2
255,2
256,2
257,0
258,2
259,2
260,0
261,0
262,2
263,0
264,2
265,0
266,2
267,0
268,2
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,2
282,2
283,2
284,2
285,2
286,2
287,2
288,2
289,2
290,2
291,2
292,0
293,2
294,2
295,2
296,2
297,2
298,2
299,2
300,2
301,2
302,2
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,2
314,0
315,0
316,0
317,0
318,0
319,0
320,2
321,0
322,0
323,2
324,0
325,0
326,2
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,2
342,0
343,0
344,0
345,0
346,0
347,1
348,1
349,0
350,0
351,2
352,2
353,0
354,0
355,0
356,1
357,1
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,1
366,1
367,1
368,1
369,2
370,0
371,2
372,0
373,0
374,0
375,0
376,2
377,0
378,2
379,2
380,0
381,2
382,0
383,0
384,0
385,0
386,0
387,2
388,2
389,2
390,0
391,0
392,0
393,2
394,2
395,2
396,2
397,2
398,2
399,2
400,2
401,2
402,1
403,1
404,1
405,1
406,1
407,1
408,1
409,1
410,1
411,1
412,0
413,1
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,1
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,1
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,1
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,1
522,0
523,1
524,1
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
